country,NO&T National Energy Policy,NO&T Electricity consumption,NO&T Climate change policy,NO&T Development of res use,NO&T Renewable energy sources,P&M National Energy Policy,P&M Electricity consumption,P&M Climate change policy,P&M Development of res use,P&M Renewable energy sources,CS&RP National Energy Policy,CS&RP Electricity consumption,CS&RP Climate change policy,CS&RP Development of res use,CS&RP Renewable energy sources,c1,c2,u1,u2
Austria,0.2405000030994415,0.1449999958276748,0.1686999946832656,0.1441999971866607,0.3016999959945678,0.306300014257431,0.0119000002741813,0.6442999839782715,0.019200000911951,0.018300000578165,0.1319999992847442,0.4774999916553497,0.1108999997377395,0.1270000040531158,0.1527000069618225,-35.257206,-12.716322,0.55263937,12.611287
Belgium,0.0386999994516372,0.0603000000119209,0.161200001835823,0.0298999994993209,0.7098000049591064,0.0237000007182359,0.0126000000163912,0.9373999834060668,0.0,0.017799999564886,0.0701000019907951,0.5449000000953674,0.0645999982953071,0.0678000003099441,0.2524999976158142,-16.631054,45.763668,0.14273712,8.640057
Bulgaria,0.0507999993860721,0.7269999980926514,0.0412000007927417,0.0725999996066093,0.1083000004291534,0.3242999911308288,0.0668999999761581,0.3626999855041504,0.2027000039815902,0.0434999987483024,0.0344999991357326,0.8500999808311462,0.0273000001907348,0.0489999987185001,0.0390999987721443,-8.664893,-66.287224,0.82200396,7.6873755
Czechia,0.0357000008225441,0.0917999967932701,0.0315000005066394,0.7044000029563904,0.1366000026464462,0.0544000007212162,0.0225000008940696,0.3921000063419342,0.5090000033378601,0.0219999998807907,0.0397000014781951,0.5012999773025513,0.0355999991297721,0.3743000030517578,0.049100000411272,45.236748,-42.314285,2.3071141,3.81854
Cyprus,0.1684000045061111,0.1472000032663345,0.1142999976873397,0.2178999930620193,0.3522000014781952,0.2784999907016754,0.1518999934196472,0.3880999982357025,0.1036000028252601,0.0778999999165535,0.1000000014901161,0.612500011920929,0.0551999993622303,0.1023000031709671,0.1299999952316284,-19.611805,-24.430828,0.27957928,8.953299
Germany,0.0700000002980232,0.1396999955177307,0.1064999997615814,0.0772000029683113,0.6067000031471252,0.0403999984264373,0.0203000009059906,0.8650000095367432,0.025399999693036,0.0489000007510185,0.0680000036954879,0.4977000057697296,0.0769999995827674,0.1287000030279159,0.2285999953746795,-30.35356,36.91532,0.26422572,12.253438
Denmark,0.0423999987542629,0.0425000004470348,0.1403000056743621,0.0750000029802322,0.6998000144958496,0.0520000010728836,0.0299999993294477,0.4717999994754791,0.0526000000536441,0.3937999904155731,0.0513000003993511,0.7402999997138977,0.0520000010728836,0.0597999989986419,0.0966000035405159,21.278507,8.712493,2.1332288,4.773582
Estonia,0.0905999988317489,0.1601999998092651,0.127700001001358,0.0938000008463859,0.5277000069618225,0.0443999990820884,0.0582000017166137,0.7282999753952026,0.101000003516674,0.0680000036954879,0.0540999993681907,0.733299970626831,0.0833000019192695,0.0663999989628791,0.0630000010132789,-13.9405155,8.450605,0.61550903,8.476331
Croatia,0.088699996471405,0.1726000010967254,0.0615999996662139,0.4075999855995178,0.2694999873638153,0.0592000000178813,0.0,0.1340000033378601,0.7924000024795532,0.0,0.0979000031948089,0.5697000026702881,0.0777999982237815,0.1377999931573867,0.1167000010609626,61.48902,-41.957478,2.1438313,4.0858407
Finland,0.0582000017166137,0.1454000025987625,0.0582999996840953,0.121799997985363,0.6162999868392944,0.0843999981880188,0.0513999983668327,0.5041999816894531,0.1279000043869018,0.2320999950170517,0.0480000004172325,0.553600013256073,0.0542000010609626,0.120399996638298,0.223700001835823,8.775155,19.508839,1.8491384,5.419603
France,0.0423999987542629,0.0820999965071678,0.0436999984085559,0.0549999997019767,0.7767999768257141,0.1648000031709671,0.0215000007301569,0.4884999990463257,0.0377999991178512,0.2874999940395355,0.031199999153614,0.0146000003442168,0.019200000911951,0.0138999996706843,0.9211999773979188,13.213404,45.86104,2.2822132,5.1184387
Malta,0.0874999985098838,0.1781000047922134,0.0934000015258789,0.0560999996960163,0.5849000215530396,0.1775999963283538,0.1683000028133392,0.4341000020503998,0.0546000003814697,0.1653999984264373,0.0529999993741512,0.7901999950408936,0.0555000007152557,0.0266999993473291,0.0746000036597251,5.1010494,-3.2363596,2.1833196,5.884697
Luxembourg,0.0905999988317489,0.311599999666214,0.1163000017404556,0.1639000028371811,0.3174999952316284,0.0631999969482421,0.0137000000104308,0.8733999729156494,0.0204000007361173,0.0293000005185604,0.0917999967932701,0.4814000129699707,0.0976999998092651,0.1347000002861023,0.1943999975919723,-42.694443,5.9173336,0.07490382,13.060069
Lithuania,0.1369999945163726,0.5349000096321106,0.1023999974131584,0.0755999982357025,0.1500000059604644,0.1580000072717666,0.164000004529953,0.6190000176429749,0.0504000000655651,0.0,0.0258000008761882,0.8921999931335449,0.025399999693036,0.033500000834465,0.0230999998748302,3.719911,-55.96763,1.794258,5.87272
Italy,0.2495000064373016,0.1770000010728836,0.0441999994218349,0.1040000021457672,0.4251999855041504,0.7595999836921692,0.0168999992311,0.124499998986721,0.0304000005125999,0.0684999972581863,0.0868000015616417,0.6198999881744385,0.0513000003993511,0.0830999985337257,0.1589999943971634,-47.863884,-55.49267,-0.38748413,13.243835
Ireland,0.0763999968767166,0.1328999996185302,0.2055999934673309,0.1324000060558319,0.4526000022888183,0.0531999990344047,0.0151000004261732,0.8788999915122986,0.0188999995589256,0.0340000018477439,0.0463000014424324,0.7301999926567078,0.0579999983310699,0.063400000333786,0.1022000014781951,-29.165323,18.029602,0.6906749,11.850044
Hungary,0.1199000030755996,0.1789000034332275,0.1077999994158744,0.2101999968290329,0.3831999897956848,0.1764000058174133,0.048700001090765,0.5476999878883362,0.1165999993681907,0.1106000021100044,0.0362999998033046,0.8158000111579895,0.0326999984681606,0.0491999983787536,0.0659999996423721,-1.7894076,-21.153194,1.5215645,6.4539113
Spain,0.419400006532669,0.1013000011444091,0.1049000024795532,0.2680999934673309,0.1062999963760376,0.8657000064849854,0.0184000004082918,0.0266999993473291,0.0546000003814697,0.0346000008285045,0.067900002002716,0.3366999924182892,0.0322999991476535,0.4359000027179718,0.1272000074386596,-67.40714,-59.180138,-0.3541174,13.685556
Netherlands,0.0907000005245208,0.0414000004529953,0.484499990940094,0.0768999978899955,0.3064999878406524,0.0781000033020973,0.0318000018596649,0.732200026512146,0.0549999997019767,0.1030000001192092,0.0403000004589557,0.5716999769210815,0.0566000007092952,0.1569000035524368,0.1745000034570694,-51.67524,24.358128,0.24094103,13.790647
Poland,0.0899000018835067,0.1155000030994415,0.0750000029802322,0.5059000253677368,0.2135999947786331,0.121799997985363,0.0255999993532896,0.6414999961853027,0.1807000041007995,0.0303000006824731,0.0375999994575977,0.8296999931335449,0.036200001835823,0.0515000000596046,0.0450000017881393,15.609004,-29.02234,2.4230275,5.159965
Portugal,0.4693999886512756,0.0694999992847442,0.0597000010311603,0.049600001424551,0.3517999947071075,0.9243000149726868,0.0115999998524785,0.0377999991178512,0.0144999995827674,0.0116999996826052,0.1552000045776367,0.5889000296592712,0.0590000003576278,0.0742999985814094,0.1225999966263771,-53.599415,-69.52865,-0.10018239,13.568273
Romania,0.0882999971508979,0.335099995136261,0.0513999983668327,0.1679999977350235,0.3571999967098236,0.3664999902248382,0.0632999986410141,0.4165000021457672,0.1195999979972839,0.0340999998152256,0.0465000011026859,0.8130999803543091,0.0384000018239021,0.0496999993920326,0.0524000003933906,-10.524353,-40.210224,0.74286896,7.989234
Sweden,0.050000000745058,0.1624999940395355,0.0631000027060508,0.1467999964952469,0.5776000022888184,0.0285999998450279,0.0195000004023313,0.8718000054359436,0.0432999990880489,0.0368000008165836,0.0303000006824731,0.762499988079071,0.0355999991297721,0.0480000004172325,0.123599998652935,-14.392812,25.418972,0.25597882,8.117865
Slovenia,0.2029999941587448,0.3528000116348266,0.1187999993562698,0.2446999996900558,0.0807000026106834,0.5681999921798706,0.0557999983429908,0.1836999952793121,0.1561000049114227,0.036200001835823,0.066100001335144,0.7454000115394592,0.0443000011146068,0.0799999982118606,0.0641999989748001,-28.25953,-56.462646,0.48228818,12.03725
Slovakia,0.0544999986886978,0.131400004029274,0.0546000003814697,0.4607999920845032,0.298799991607666,0.2056999951601028,0.0390000008046627,0.268200010061264,0.4088000059127807,0.0782999992370605,0.0209999997168779,0.3833000063896179,0.0234999991953372,0.5514000058174133,0.0208000000566244,47.636524,-56.12628,2.5127397,4.227309
