country,NO&T National energy policy,NO&T GHG emissions,NO&T Sustainable transport,NO&T All developments,NO&T Renewable energy sources,P&M National energy policy,P&M GHG emissions,P&M Sustainable transport,P&M All developments,P&M Renewable energy sources,CS&RP National energy policy,CS&RP GHG emissions,CS&RP Sustainable transport,CS&RP All developments,CS&RP Renewable energy sources,c1,c2,u1,u2
Austria,0.2310999929904937,0.1561000049114227,0.1833000034093856,0.1360999941825866,0.293500006198883,0.3413000106811523,0.0201999992132186,0.5728999972343445,0.0381999984383583,0.0274000000208616,0.1591999977827072,0.3605000078678131,0.1414999961853027,0.151199996471405,0.1876000016927719,-7.736419,-0.60269123,4.5259643,1.7132039
Belgium,0.0579999983310699,0.070200003683567,0.2011999934911728,0.0454000011086463,0.6251999735832214,0.0324000008404254,0.0182000007480382,0.913699984550476,0.0142999999225139,0.0214000009000301,0.0983999967575073,0.4483000040054321,0.0953999981284141,0.0869999974966049,0.270900011062622,-10.155533,-1.7766733,-0.55882704,3.260219
Bulgaria,0.0674000009894371,0.650600016117096,0.0544999986886978,0.0944999977946281,0.1331000030040741,0.3043000102043152,0.0538000017404556,0.1739999949932098,0.4151000082492828,0.052700001746416,0.0502000004053115,0.7741000056266785,0.0405000001192092,0.0640999972820282,0.0710999965667724,-7.353321,5.0706162,5.0947723,2.6374972
Czechia,0.063799999654293,0.1925999969244003,0.0562999993562698,0.4600000083446502,0.227400004863739,0.0750999972224235,0.0351000018417835,0.1803999990224838,0.675599992275238,0.0337999984622001,0.068800002336502,0.6202999949455261,0.0592000000178813,0.169400006532669,0.0822999998927116,-9.865034,5.187177,-1.2877384,1.8985591
Cyprus,0.1718000024557113,0.1615000069141388,0.137700006365776,0.1793999969959259,0.3495000004768371,0.2813000082969665,0.1459999978542328,0.2908999919891357,0.1753000020980835,0.1064999997615814,0.1246000006794929,0.4943999946117401,0.0785999968647956,0.1181000024080276,0.1843000054359436,-8.073992,2.2453332,4.0681267,2.2261486
Germany,0.0970999971032142,0.1371999979019165,0.1435000002384185,0.1154000014066696,0.5066999793052673,0.067900002002716,0.0282000005245208,0.7793999910354614,0.0662000030279159,0.0582999996840953,0.096000000834465,0.4056999981403351,0.1024999991059303,0.1292999982833862,0.2666000127792358,-9.668131,-1.3755114,-0.03347483,2.799882
Denmark,0.065700002014637,0.0654999986290931,0.189300000667572,0.096900001168251,0.5825999975204468,0.0860000029206276,0.0474999994039535,0.4135999977588653,0.1234999969601631,0.3294000029563904,0.0806000009179115,0.6067000031471252,0.0800999999046325,0.0888999998569488,0.1438000053167343,-9.508829,1.3020533,0.1836508,2.0786905
Estonia,0.1162000000476837,0.1713999956846237,0.1504999995231628,0.1307999938726425,0.4311000108718872,0.0746000036597251,0.0742999985814094,0.567300021648407,0.2129999995231628,0.0707999989390373,0.0763999968767166,0.6456999778747559,0.0993999987840652,0.0842000022530555,0.094200000166893,-8.972038,0.6011103,1.2726268,1.8732221
Croatia,0.1204999983310699,0.2053000032901764,0.0912000015377998,0.2928000092506408,0.2901999950408935,0.0450999997556209,0.013600000180304,0.0538000017404556,0.8733000159263611,0.0141000002622604,0.1343999952077865,0.4334999918937683,0.1115999966859817,0.1553999930620193,0.1650000065565109,-10.16951,5.62434,-0.95957935,2.0184488
Finland,0.0860999971628189,0.1634999960660934,0.0885000005364418,0.1480000019073486,0.5138000249862671,0.1154000014066696,0.0754999965429306,0.352400004863739,0.2942999899387359,0.1623000055551529,0.0745000019669532,0.4611999988555908,0.0815000012516975,0.1149000003933906,0.2678999900817871,-9.57115,1.8955106,-0.32393697,2.038245
France,0.0685999989509582,0.1032000035047531,0.0756999999284744,0.0812000036239624,0.6712999939918518,0.1815000027418136,0.0375000014901161,0.4526000022888183,0.0728000029921531,0.2556000053882599,0.0505999997258186,0.0220999997109174,0.0364999994635582,0.0255999993532896,0.8651999831199646,-11.440967,-0.13057163,-0.928913,2.9238625
Malta,0.1046999990940094,0.1491000056266784,0.1147999987006187,0.091899998486042,0.5394999980926514,0.2138999998569488,0.1308999955654144,0.3283999860286712,0.122699998319149,0.2040999978780746,0.0674000009894371,0.7045000195503235,0.0667999982833862,0.0423000007867813,0.1190000027418136,-8.7773,1.7664735,1.8848151,2.0956192
Luxembourg,0.121299996972084,0.2673999965190887,0.1410000026226043,0.1490000039339065,0.3212000131607055,0.0943000018596649,0.0239000003784894,0.8009999990463257,0.0417000018060207,0.0390999987721443,0.1212000027298927,0.375,0.125,0.1391000002622604,0.2398000061511993,-9.001723,-1.7169315,1.0306537,2.3112264
Lithuania,0.1353999972343444,0.4711000025272369,0.0961999967694282,0.1356000006198883,0.1616999953985214,0.2135999947786331,0.209099993109703,0.4280999898910522,0.135000005364418,0.0142000000923872,0.0397000014781951,0.8382999897003174,0.0370000004768371,0.0441999994218349,0.0408000014722347,-6.8992505,4.361298,5.4771914,2.4044657
Italy,0.2344000041484832,0.1697999984025955,0.0719000026583671,0.0988000035285949,0.4250999987125397,0.739300012588501,0.0267999991774559,0.1045999974012374,0.0564000010490417,0.0728999972343444,0.1164999976754188,0.488999992609024,0.0781000033020973,0.1035000011324882,0.2128999978303909,-5.1325283,2.1490924,6.4804254,2.6144354
Ireland,0.1027000024914741,0.1574999988079071,0.2205000072717666,0.1288000047206878,0.3905999958515167,0.0763000026345253,0.0242999996989965,0.8184999823570251,0.0392999984323978,0.0416000001132488,0.0727000012993812,0.592199981212616,0.0877000018954277,0.0820000022649765,0.1652999967336654,-9.054811,-0.95853484,0.7346035,2.578736
Hungary,0.13680000603199,0.1978999972343444,0.1207000017166137,0.2205999940633773,0.3239000141620636,0.2101999968290329,0.0627000033855438,0.3084999918937683,0.3089999854564667,0.1096000000834465,0.0604999996721744,0.695900022983551,0.0542000010609626,0.0715000033378601,0.1177999973297119,-8.484802,3.2176871,2.5623145,2.3596802
Spain,0.380400002002716,0.1488000005483627,0.1405999958515167,0.1784999966621399,0.1517000049352646,0.8194000124931335,0.0320999994874,0.0450999997556209,0.0535000003874301,0.050000000745058,0.1032000035047531,0.3941999971866607,0.0553000010550022,0.1776999980211258,0.2694999873638153,-4.599481,2.1578205,6.104286,3.0383706
Netherlands,0.1150999963283538,0.0601000003516674,0.4480000138282776,0.0905999988317489,0.2861999869346618,0.1137999966740608,0.0480000004172325,0.6347000002861023,0.0861999988555908,0.1172999963164329,0.062899999320507,0.4873999953269958,0.0728000029921531,0.0754999965429306,0.3014000058174133,-8.189753,-1.5128139,3.8809485,1.8640982
Poland,0.1335999965667724,0.1706999987363815,0.1076000034809112,0.3188000023365021,0.2691999971866607,0.1554999947547912,0.0322000011801719,0.4251999855041504,0.3479999899864197,0.0390999987721443,0.0564000010490417,0.7458999752998352,0.0474000014364719,0.0725999996066093,0.0776999965310096,-8.888262,3.6154537,1.722928,2.556509
Portugal,0.4142000079154968,0.0804999992251396,0.0982000008225441,0.0755999982357025,0.3314999938011169,0.870199978351593,0.0208000000566244,0.0582000017166137,0.0303000006824731,0.0205000005662441,0.1601999998092651,0.4939000010490417,0.0855000019073486,0.0965000018477439,0.1638000011444091,-4.7812986,2.0308487,6.292514,2.8501635
Romania,0.1081999987363815,0.288100004196167,0.0722000002861023,0.1398999989032745,0.3916000127792358,0.3772999942302704,0.067500002682209,0.2581999897956848,0.2457000017166137,0.0513999983668327,0.0759000033140182,0.6905999779701233,0.0623000003397464,0.0744000002741813,0.096900001168251,-7.7175207,3.1806517,4.5885415,2.3574474
Sweden,0.0782999992370605,0.1659000068902969,0.0967999994754791,0.1343999952077865,0.5245000123977661,0.0518999993801116,0.031199999153614,0.7739999890327454,0.0930000022053718,0.0498999990522861,0.0515000000596046,0.5422999858856201,0.0581000000238418,0.0715999975800514,0.2764999866485595,-9.802829,-0.8510036,-0.49878296,2.7225492
Slovenia,0.1565999984741211,0.2860000133514404,0.1163000017404556,0.3300000131130218,0.1111000031232833,0.4144000113010406,0.0754000023007392,0.1870999932289123,0.2693000137805938,0.0537000000476837,0.0810000002384185,0.6636000275611877,0.0610000006854534,0.0914999991655349,0.1030000001192092,-7.781113,4.030364,4.8759236,2.0179636
Slovakia,0.0869000032544136,0.2087000012397766,0.0896999984979629,0.288100004196167,0.3267000019550323,0.155799999833107,0.0445999987423419,0.0898000001907348,0.6459000110626221,0.0639000013470649,0.0526000000536441,0.6829000115394592,0.0571000017225742,0.1677999943494796,0.0395999997854232,-9.553953,5.175123,-0.95367885,1.5950537
